category_id,class_name,num_parts,num_pairs,spearman,pearson,mse,max_abs_diff
0,aeroplane,6,15,1.0,0.9999999999972597,8.190978853571482e-15,1.7881393432617188e-07
1,bicycle,5,10,1.0,0.9999999999985306,1.1368683094535245e-14,2.980232238769531e-07
2,bird,9,36,1.0,0.9999999999928179,2.0175904675255596e-14,4.172325134277344e-07
5,bus,10,45,1.0,0.9999999999981816,1.5241141546528877e-14,3.5762786865234375e-07
6,car,10,45,1.0,0.9999999999973068,1.5845103142975506e-14,2.980232238769531e-07
7,cat,9,36,1.0,0.9999999999963898,1.3859969622736015e-14,3.5762786865234375e-07
9,cow,9,36,1.0,0.9999999999978507,7.544033723183487e-15,2.980232238769531e-07
11,dog,10,45,1.0,0.9999999999937785,1.783462259981588e-14,4.76837158203125e-07
12,horse,9,36,1.0,0.9999999999944272,1.2456428405839114e-14,2.384185791015625e-07
13,motorbike,4,6,1.0,0.9999999999966764,1.8207657603852567e-14,2.384185791015625e-07
14,person,14,91,1.0,0.9999999999958608,1.4827140641031182e-14,3.5762786865234375e-07
16,sheep,9,36,1.0,0.9999999999968417,7.851058602607701e-15,2.384185791015625e-07
18,train,7,21,1.0,0.9999999999981389,1.8343603003755093e-14,2.384185791015625e-07
