category_id,class_name,num_parts,part_ids,part_names,part_graph_spearman,part_graph_pearson,part_graph_mse,part_graph_num_pairs,obj_part_relation_spearman,obj_part_relation_pearson,obj_part_relation_mse,obj_part_relation_num_pairs
0,aeroplane,6,0 1 2 3 4 5,aeroplane's body | aeroplane's stern | aeroplane's wing | aeroplane's tail | aeroplane's engine | aeroplane's wheel,0.37857142857142856,0.25470261052348214,0.1167746243003128,15,0.5428571428571428,0.5364456972714522,0.036037502675138576,6
1,bicycle,5,6 7 8 9 10,bicycle's wheel | bicycle's saddle | bicycle's handlebar | bicycle's chainwheel | bicycle's headlight,0.9030303030303031,0.9173680183156173,0.14025526242712488,10,0.7,0.7552166680279433,0.06973909852573783,5
2,bird,9,11 12 13 14 15 16 17 18 19,bird's wing | bird's tail | bird's head | bird's eye | bird's beak | bird's torso | bird's neck | bird's leg | bird's foot,0.29009009009009007,0.3916830902506639,0.27036799081149065,36,0.5,0.3663672498860814,0.12347323468995598,9
4,bottle,2,20 21,bottle's body | bottle's cap,nan,nan,nan,1,1.0,1.0,0.03252339319730346,2
5,bus,10,22 23 24 25 26 27 28 29 30 31,bus's wheel | bus's headlight | bus's front | bus's side | bus's back | bus's roof | bus's mirror | bus's license plate | bus's door | bus's window,0.7868247694334651,0.7389217079075322,0.08261669785228132,45,0.7575757575757576,0.5911237313331987,0.03393903185812421,10
6,car,10,32 33 34 35 36 37 38 39 40 41,car's wheel | car's headlight | car's front | car's side | car's back | car's roof | car's mirror | car's license plate | car's door | car's window,0.7679841897233202,0.771904896317112,0.17549572567700517,45,0.9151515151515152,0.8619331464593466,0.05580509078634712,10
7,cat,9,42 43 44 45 46 47 48 49 50,cat's tail | cat's head | cat's eye | cat's torso | cat's neck | cat's leg | cat's nose | cat's paw | cat's ear,0.49214929214929215,0.5327447002801835,0.15647795499193912,36,0.7,0.7039449397342498,0.0547129676772089,9
9,cow,9,51 52 53 54 55 56 57 58 59,cow's tail | cow's head | cow's eye | cow's torso | cow's neck | cow's leg | cow's ear | cow's muzzle | cow's horn,0.4314028314028314,0.5440239934642538,0.10215508996219319,36,0.85,0.8476502936800696,0.032659154621423186,9
11,dog,10,60 61 62 63 64 65 66 67 68 69,dog's tail | dog's head | dog's eye | dog's torso | dog's neck | dog's leg | dog's nose | dog's paw | dog's ear | dog's muzzle,0.4994729907773386,0.5176873149383145,0.2816796074814082,45,0.38181818181818183,0.4870855637399214,0.10111477735530032,10
12,horse,9,70 71 72 73 74 75 76 77 78,horse's tail | horse's head | horse's eye | horse's torso | horse's neck | horse's leg | horse's ear | horse's muzzle | horse's hoof,0.5477477477477477,0.5965613522910326,0.14552833118923955,36,0.8833333333333333,0.8900434888370318,0.04564662414997637,9
13,motorbike,4,79 80 81 82,motorbike's wheel | motorbike's saddle | motorbike's handlebar | motorbike's headlight,0.2,0.1264548722232708,0.11083857383415774,6,-0.6,-0.2082188510613758,0.03170059076658749,4
14,person,14,83 84 85 86 87 88 89 90 91 92 93 94 95 96,person's head | person's eye | person's torso | person's neck | person's leg | person's foot | person's nose | person's ear | person's eyebrow | person's mouth | person's hair | person's lower arm | person's upper arm | person's hand,0.7850613154960981,0.7991335767920805,0.21112738228685585,91,0.07252747252747253,0.23127282446156847,0.10867860443616235,14
15,pottedplant,2,97 98,pottedplant's pot | pottedplant's plant,nan,nan,nan,1,1.0,1.0,0.014961774485344748,2
16,sheep,9,99 100 101 102 103 104 105 106 107,sheep's tail | sheep's head | sheep's eye | sheep's torso | sheep's neck | sheep's leg | sheep's ear | sheep's muzzle | sheep's horn,0.22574002574002575,0.19682043550408435,0.09916283569097245,36,0.6333333333333333,0.5778579011936693,0.03590229970701012,9
18,train,7,108 109 110 111 112 113 114,train's headlight | train's head | train's front | train's side | train's back | train's roof | train's coach,0.6428571428571429,0.7362775435503661,0.025594290143909553,21,0.7142857142857143,0.8713112942894213,0.00765018524267193,7
